id,superkingdom,kingdom,phylum,class,order,family,genus,species
OTU_000000058,Opisthokonta,Metazoa,Arthropoda,Insecta,Diptera,Calliphoridae,None,None
OTU_000000106,Opisthokonta,Metazoa,Arthropoda,Insecta,Neuroptera,Mantispidae,Euclimacia,Euclimacia badia
OTU_000000220,Opisthokonta,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,None,None
OTU_000000285,Opisthokonta,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,None,None
OTU_000000380,Opisthokonta,Metazoa,Arthropoda,Insecta,Diptera,Sarcophagidae,Sarcophaga,Sarcophaga crassipalpis
OTU_000000853,Opisthokonta,Metazoa,Arthropoda,Insecta,Diptera,Phoridae,Megaselia,Megaselia scalaris
OTU_000001571,Opisthokonta,Metazoa,Arthropoda,Arachnida,Araneae,Salticidae,Burmattus,Burmattus sp. Fuzhou-Yuanxi-15
OTU_000001644,Opisthokonta,Metazoa,Arthropoda,Insecta,Diptera,Anisopodidae,Sylvicola,Sylvicola fenestralis
OTU_000002163,Opisthokonta,Metazoa,Arthropoda,Arachnida,Araneae,Linyphiidae,None,None
OTU_000002638,Opisthokonta,Metazoa,Arthropoda,Insecta,Neuroptera,Mantispidae,None,None
OTU_000004008,Opisthokonta,Metazoa,Arthropoda,Insecta,Diptera,Sciaridae,None,Sciaridae sp. 7007_046
OTU_000004509,Opisthokonta,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,Idaea dimidiata
OTU_000007412,Opisthokonta,Metazoa,Arthropoda,Insecta,Hemiptera,Cicadellidae,Oncopsis,None
OTU_000007489,Opisthokonta,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,None,None
OTU_000010637,Opisthokonta,Metazoa,Arthropoda,Arachnida,Araneae,Salticidae,Habronattus,Habronattus oregonensis
OTU_000010744,Correct_manually,Correct_manually,Correct_manually,Correct_manually,Sarcoptiformes,Scheloribatidae,None,Scheloribatidae sp. 7503_035
OTU_000013424,Opisthokonta,Metazoa,Arthropoda,Insecta,Coleoptera,Carabidae,None,None
OTU_000013793,Opisthokonta,Metazoa,Arthropoda,Insecta,Diptera,Chironomidae,Limnophyes,Limnophyes sp. 14ES
OTU_000014295,Opisthokonta,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,None,None
OTU_000014567,Opisthokonta,Metazoa,Arthropoda,Insecta,Neuroptera,Mantispidae,None,None
OTU_000015230,Opisthokonta,Metazoa,Arthropoda,Insecta,Diptera,Chironomidae,Limnophyes,Limnophyes sp. 14ES
OTU_000015372,Opisthokonta,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,None,None
OTU_000016209,Opisthokonta,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,None,None
OTU_000016244,Opisthokonta,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,None,None
OTU_000018684,Opisthokonta,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,None,None
OTU_000019007,Opisthokonta,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,None,None
OTU_000019851,Opisthokonta,Metazoa,Arthropoda,Arachnida,Opiliones,Phalangiidae,Bunochelis,Bunochelis spinifera
OTU_000024978,Opisthokonta,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,None,None
OTU_000026271,Opisthokonta,Metazoa,Arthropoda,Arachnida,Araneae,Salticidae,Burmattus,Burmattus sp. Fuzhou-Yuanxi-15
OTU_000026515,Opisthokonta,Metazoa,Arthropoda,Insecta,Neuroptera,Mantispidae,None,None
OTU_000031774,Opisthokonta,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,None,None
OTU_000035052,Opisthokonta,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,None,None
OTU_000040390,Opisthokonta,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,None,None
OTU_000041613,Opisthokonta,Metazoa,Arthropoda,Insecta,Neuroptera,Mantispidae,None,None
OTU_000042659,Opisthokonta,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,None,None
OTU_000043530,Opisthokonta,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,None,None
OTU_000049538,Opisthokonta,Metazoa,Arthropoda,Insecta,Neuroptera,Mantispidae,None,None
OTU_000053251,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Entomobryomorpha,Entomobryidae,Orchesella,Orchesella sp. BIOUG20818-E07
OTU_000054162,Opisthokonta,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,None,None
OTU_000058036,Opisthokonta,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,Aphis fabae
